id,first_name,last_name,email,password,created_at,updated_at,role
21b28ea1-e1bc-401f-b678-dd698ad1cb9c,Arnoldo,Streich,arnoldo.streich.tsgnfo@example.edu,sQiws4a6xXUdx3U,2025-09-19 20:09:17.101,2025-09-19 20:09:17.101,STUDENT
7156a02f-fae4-40cc-b1cf-21099a5d178e,Cali,Bahringer,cali.bahringer.evaimm@example.edu,PIfnrlAB0byN8Lw,2025-09-19 20:09:16.927,2025-09-19 20:09:16.927,STUDENT
77b201cc-654d-4018-8d17-ab96b4ece757,Erwin,Waters,erwin.waters.e4zivs@example.edu,2W_w8eThIouTaGs,2025-09-19 20:09:16.999,2025-09-19 20:09:16.999,STUDENT
a6c3fdc8-48a9-4170-a04d-cd52bfabfb0f,Fae,Lindgren,fae.lindgren.4zmwvs@example.edu,JrMNyxpk0k8sP8S,2025-09-19 20:09:16.798,2025-09-19 20:09:16.798,STUDENT
bb8c36df-77b3-49c4-b2a2-e7fa6ce6d66e,Jaylin,Gutkowski,jaylin.gutkowski.4kh0wi@example.edu,7_aguVvTIW1OoQY,2025-09-19 20:09:16.634,2025-09-19 20:09:16.634,PROFESSOR
d0870a5f-5c27-441b-8fd1-25a0faffaf50,Zackery,Mayer,zackery.mayer.rnimwz@example.edu,H75A8cCo_CxMfTK,2025-09-19 20:09:16.899,2025-09-19 20:09:16.899,STUDENT
d4455555-ef15-4d48-9ffe-ff84d38dc2b2,Dorothea,Abbott,dorothea.abbott.nx34yf@example.edu,nly5zwBu2QQkskS,2025-09-19 20:09:17.032,2025-09-19 20:09:17.032,STUDENT
de763d13-69d4-4364-a2c0-f3fb02596459,Nikki,Schroeder,nikki.schroeder.e1mceq@example.edu,jCeVM1udW6GSHR2,2025-09-19 20:09:16.52,2025-09-19 20:09:16.52,PROFESSOR
e463bcb7-b75c-4370-a812-5aa472e1db70,Madge,Dooley,madge.dooley.zs3nwe@example.edu,g0IGXUKLPF4NybP,2025-09-19 20:09:17.203,2025-09-19 20:09:17.203,STUDENT
eff8268d-3d21-47b2-8d94-bc9fed474960,Nick,Brakus,nick.brakus.s5anxk@example.edu,LAxtSoPgKwP_Y8B,2025-09-19 20:09:16.665,2025-09-19 20:09:16.665,STUDENT
